"community","level","assignation","n_distinct_finest_name"
"bacteria","any_level","assigned",423
"bacteria","any_level","unassigned",1068
"bacteria","family","assigned",63
"bacteria","family","unassigned",1428
"bacteria","genus","assigned",348
"bacteria","genus","unassigned",1143
"bacteria","order","assigned",108
"bacteria","order","unassigned",1383
"bacteria","species","assigned",9
"bacteria","species","unassigned",1482
"fungi","any_level","assigned",396
"fungi","any_level","unassigned",462
"fungi","family","unassigned",858
"fungi","genus","assigned",396
"fungi","genus","unassigned",462
"fungi","order","unassigned",858
"fungi","species","assigned",6
"fungi","species","unassigned",852
"macrofauna_aerial","any_level","assigned",238
"macrofauna_aerial","any_level","unassigned",30
"macrofauna_aerial","family","assigned",237
"macrofauna_aerial","family","unassigned",31
"macrofauna_aerial","genus","assigned",29
"macrofauna_aerial","genus","unassigned",239
"macrofauna_aerial","order","unassigned",268
"macrofauna_aerial","species","assigned",22
"macrofauna_aerial","species","unassigned",246
"macrofauna_foliar","any_level","assigned",72
"macrofauna_foliar","any_level","unassigned",26
"macrofauna_foliar","family","assigned",71
"macrofauna_foliar","family","unassigned",27
"macrofauna_foliar","genus","assigned",16
"macrofauna_foliar","genus","unassigned",82
"macrofauna_foliar","order","unassigned",98
"macrofauna_foliar","species","assigned",10
"macrofauna_foliar","species","unassigned",88
"macrofauna_surface","any_level","assigned",175
"macrofauna_surface","any_level","unassigned",42
"macrofauna_surface","family","assigned",175
"macrofauna_surface","family","unassigned",42
"macrofauna_surface","genus","assigned",54
"macrofauna_surface","genus","unassigned",163
"macrofauna_surface","order","unassigned",217
"macrofauna_surface","species","assigned",39
"macrofauna_surface","species","unassigned",178
"micro_arthropodes","any_level","assigned",48
"micro_arthropodes","any_level","unassigned",23
"micro_arthropodes","family","assigned",48
"micro_arthropodes","family","unassigned",23
"micro_arthropodes","genus","assigned",8
"micro_arthropodes","genus","unassigned",63
"micro_arthropodes","order","unassigned",71
"micro_arthropodes","species","assigned",2
"micro_arthropodes","species","unassigned",69
"nematodes","any_level","assigned",20
"nematodes","any_level","unassigned",10
"nematodes","family","unassigned",30
"nematodes","genus","assigned",20
"nematodes","genus","unassigned",10
"nematodes","order","unassigned",30
"nematodes","species","unassigned",30
"protists","any_level","assigned",128
"protists","any_level","unassigned",932
"protists","family","assigned",128
"protists","family","unassigned",932
"protists","genus","assigned",44
"protists","genus","unassigned",1016
"protists","order","unassigned",1060
"protists","species","assigned",17
"protists","species","unassigned",1043
