"community","level","assignation","abundance"
"bacteria","class","assigned",1175708
"fungi","class","assigned",1080753
"macrofauna_aerial","class","assigned",22747
"macrofauna_foliar","class","assigned",28854
"macrofauna_surface","class","assigned",18835
"micro_arthropodes","class","assigned",21580
"nematodes","class","assigned",931217
"protists","class","assigned",1019457
"bacteria","family","assigned",1065400
"fungi","family","assigned",937124
"macrofauna_aerial","family","assigned",8141
"macrofauna_foliar","family","assigned",13777
"macrofauna_surface","family","assigned",4478
"micro_arthropodes","family","assigned",6517
"nematodes","family","assigned",931217
"protists","family","assigned",218538
"bacteria","genus","assigned",776138
"fungi","genus","assigned",840028
"macrofauna_aerial","genus","assigned",2347
"macrofauna_foliar","genus","assigned",3379
"macrofauna_surface","genus","assigned",2757
"micro_arthropodes","genus","assigned",3269
"nematodes","genus","assigned",794795
"protists","genus","assigned",473594
"bacteria","kingdom","assigned",1179854
"fungi","kingdom","assigned",1163682
"macrofauna_aerial","kingdom","assigned",22747
"macrofauna_foliar","kingdom","assigned",28854
"macrofauna_surface","kingdom","assigned",18835
"micro_arthropodes","kingdom","assigned",21580
"nematodes","kingdom","assigned",931217
"protists","kingdom","assigned",1102750
"bacteria","order","assigned",1152187
"fungi","order","assigned",1067337
"macrofauna_aerial","order","assigned",22174
"macrofauna_foliar","order","assigned",28132
"macrofauna_surface","order","assigned",18768
"micro_arthropodes","order","assigned",20414
"nematodes","order","assigned",931217
"protists","order","assigned",53024
"bacteria","phylum","assigned",1179524
"fungi","phylum","assigned",1110054
"macrofauna_aerial","phylum","assigned",22747
"macrofauna_foliar","phylum","assigned",28854
"macrofauna_surface","phylum","assigned",18835
"micro_arthropodes","phylum","assigned",21580
"nematodes","phylum","assigned",931217
"protists","phylum","assigned",1102750
"bacteria","species","assigned",34902
"fungi","species","assigned",571141
"macrofauna_aerial","species","assigned",1650
"macrofauna_foliar","species","assigned",1874
"macrofauna_surface","species","assigned",1489
"micro_arthropodes","species","assigned",2929
"protists","species","assigned",154336
"bacteria","class","unassigned",4146
"fungi","class","unassigned",82929
"protists","class","unassigned",83293
"bacteria","family","unassigned",114454
"fungi","family","unassigned",226558
"macrofauna_aerial","family","unassigned",14606
"macrofauna_foliar","family","unassigned",15077
"macrofauna_surface","family","unassigned",14357
"micro_arthropodes","family","unassigned",15063
"protists","family","unassigned",884212
"bacteria","genus","unassigned",403716
"fungi","genus","unassigned",323654
"macrofauna_aerial","genus","unassigned",20400
"macrofauna_foliar","genus","unassigned",25475
"macrofauna_surface","genus","unassigned",16078
"micro_arthropodes","genus","unassigned",18311
"nematodes","genus","unassigned",136422
"protists","genus","unassigned",629156
"bacteria","order","unassigned",27667
"fungi","order","unassigned",96345
"macrofauna_aerial","order","unassigned",573
"macrofauna_foliar","order","unassigned",722
"macrofauna_surface","order","unassigned",67
"micro_arthropodes","order","unassigned",1166
"protists","order","unassigned",1049726
"bacteria","phylum","unassigned",330
"fungi","phylum","unassigned",53628
"bacteria","species","unassigned",1144952
"fungi","species","unassigned",592541
"macrofauna_aerial","species","unassigned",21097
"macrofauna_foliar","species","unassigned",26980
"macrofauna_surface","species","unassigned",17346
"micro_arthropodes","species","unassigned",18651
"nematodes","species","unassigned",931217
"protists","species","unassigned",948414
