query;kingdom;phylum;class;order;family;genus;species;reference;date
Oxytelini;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Oxytelini;NA;wikipedia;25/04/2024
Philonthina;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;NA;NA;arthropedia.fandom;25/04/2024
Gnaphosoidea;Animalia;Arthropoda;Arachnida;Araneae;Gnaphosidae;NA;NA;wikipedia;25/04/2024
Lathrobiina;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;NA;NA;wikipedia;25/04/2024
Hirticomus;Animalia;Arthropoda;Insecta;Coleoptera;Anthicidae;Hirticomus;NA;wikispecies;25/04/2024
Cataglyphis pallidula;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Cataglyphis;Cataglyphis pallidula;wikipedia;25/04/2024
Anchicera;Animalia;Arthropoda;Insecta;Coleoptera;Cryptophagidae;Atomaria;NA;wikispecies;25/04/2024
Pangus scaritides;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pangus;Pangus scaritides;wikipedia;25/04/2024
Priocnemis propinqua;Animalia;Arthropoda;Insecta;Hymenoptera;Pompilidae;Priocnemis;Priocnemis propinqua;wikispecies;25/04/2024
Agalliina;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;NA;NA;wikispecies;25/04/2024
Paralimnina;NA;NA;NA;NA;NA;NA;NA;NA;25/04/2024
Nitidulini;Animalia;Arthropoda;Insecta;Coleoptera;Nitidulidae;NA;NA;wikipedia;25/04/2024
Geotomini;Animalia;Arthropoda;Insecta;Hemiptera;Cydnidae;NA;NA;wikispecies;25/04/2024
Thomisinae;Animalia;Arthropoda;Arachnida;Araneae;Thomisidae;NA;NA;wikipedia;25/04/2024
Pteromalini;Animalia;Arthropoda;Insecta;Hymenoptera;Pteromalidae;NA;NA;wikipedia;25/04/2024
Chlaenius decipiens;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Chlaenius;Chlaenius decipiens;wikipedia;25/04/2024
Rhyssemina;Animalia;Arthropoda;Insecta;Coleoptera;Scarabaeidae;NA;NA;wikispecies;25/04/2024
Thomisoidea;Animalia;Arthropoda;Arachnida;Araneae;Thomisidae;NA;NA;wikipedia;25/04/2024
