"","name","community","step","query","kingdom","phylum","class","order","family","genus","species"
"1",219,"macrofauna_surface","before taxize::gnr_resolve",NA,NA,NA,NA,NA,NA,NA,NA
"2",269,"macrofauna_aerial","before taxize::gnr_resolve",NA,NA,NA,NA,NA,NA,NA,NA
"3",100,"macrofauna_foliar","before taxize::gnr_resolve",NA,NA,NA,NA,NA,NA,NA,NA
"4",30,"nematodes","before taxize::gnr_resolve",NA,NA,NA,NA,NA,NA,NA,NA
"5",72,"micro_arthropodes","before taxize::gnr_resolve",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"macrofauna_surface","after taxize and manual solving",217,1,3,8,23,63,103,68
"7",NA,"macrofauna_aerial","after taxize and manual solving",269,1,1,2,9,84,148,73
"8",NA,"macrofauna_foliar","after taxize and manual solving",99,2,3,4,13,47,38,17
"9",NA,"nematodes","after taxize and manual solving",30,1,1,2,7,23,27,1
"10",NA,"micro_arthropodes","after taxize and manual solving",72,1,2,11,21,26,36,34
"11",NA,"macrofauna_surface","after linking tidy_data and tax_table",NA,1,3,8,23,63,103,68
"12",NA,"macrofauna_aerial","after linking tidy_data and tax_table",NA,1,1,2,9,84,148,73
"13",NA,"macrofauna_foliar","after linking tidy_data and tax_table",NA,2,3,4,13,47,38,17
"14",NA,"nematodes","after linking tidy_data and tax_table",NA,1,1,2,7,23,27,1
"15",NA,"micro_arthropodes","after linking tidy_data and tax_table",NA,1,2,11,21,26,35,33
"16",NA,"bacteria","after linking tidy_data and tax_table",NA,3,42,109,270,348,893,1510
"17",NA,"fungi","after linking tidy_data and tax_table",NA,2,9,28,93,215,457,885
"18",NA,"protists","after linking tidy_data and tax_table",NA,2,8,23,16,7,41,128
"19",NA,"macrofauna_surface","after filtering based on taxonomy",NA,1,3,8,23,63,103,68
"20",NA,"macrofauna_aerial","after filtering based on taxonomy",NA,1,1,2,9,84,148,73
"21",NA,"macrofauna_foliar","after filtering based on taxonomy",NA,1,2,3,13,47,38,17
"22",NA,"nematodes","after filtering based on taxonomy",NA,1,1,2,7,23,27,1
"23",NA,"micro_arthropodes","after filtering based on taxonomy",NA,1,2,11,21,26,35,33
"24",NA,"bacteria","after filtering based on taxonomy",NA,1,38,105,265,343,891,1504
"25",NA,"fungi","after filtering based on taxonomy",NA,1,9,28,93,215,457,885
"26",NA,"protists","after filtering based on taxonomy",NA,1,8,23,16,7,41,128
