"","query","kingdom","phylum","class","order","family","genus","species"
"2","Acaridida",NA,NA,NA,NA,NA,NA,NA
"4","Gamasidae",NA,NA,NA,NA,NA,NA,NA
"82","Mesaphorura sp",NA,NA,NA,NA,NA,NA,NA
"98","Pseudosinella decipiens",NA,NA,NA,NA,NA,NA,NA
"100","Pseudanorophorus isotoma",NA,NA,NA,NA,NA,NA,NA
"110","Arrhopalites gr.caecus",NA,NA,NA,NA,NA,NA,NA
"114","Seira sp",NA,NA,NA,NA,NA,NA,NA
"116","Isotomurus sp",NA,NA,NA,NA,NA,NA,NA
"120","Tullbergidae",NA,NA,NA,NA,NA,NA,NA
"140","Entomobrya aff.multifasciata",NA,NA,NA,NA,NA,NA,NA
